Name,Province,Latitude,Longitude,elevation_m,difficulty_level,hiking_duration_hours,recommended_for,image_file,source_url,distance_km
Gunung Halimun Utara,Banten,-6.7108,106.4517,1929,Moderate,4.8149999999999995,Intermediate,images/Gunung halimun utara.jpeg,https://www.gunungbagging.com/halimun/,8
Gunung Karang,Banten,-6.2686,106.0491,1778,Moderate,4.5633333333333335,Intermediate,images/Gunung karang.jpeg,https://www.gunungbagging.com/karang/,8
Gunung Pulosari,Banten,-6.3417,105.9783,1346,Moderate,3.8433333333333333,Intermediate,images/Gunung Pulosari.jpeg,https://www.gunungbagging.com/pulosari/,8
Gunung Raksa,Banten,-6.6027,105.2426,329,Easy,2.1483333333333334,Beginner,images/Gunung raksa.jpeg,https://www.gunungbagging.com/raksa/,8
Gunung Ciremai,Jawa Barat,-6.8929,108.4069,3078,Moderate,6.73,Intermediate,images/Gunung Ciremai.jpeg,https://www.gunungbagging.com/ciremai/,8
Gunung Pangrango,Jawa Barat,-6.7701,106.965,3020,Moderate,6.633333333333333,Intermediate,images/Gunung Gede Pangrango.jpeg,https://www.gunungbagging.com/pangrango/,8
Gunung Cikuray,Jawa Barat,-7.3226,107.8599,2821,Moderate,6.301666666666668,Intermediate,images/Gunung Cikuray.jpeg,https://www.gunungbagging.com/cikuray/,8
Gunung Papandayan,Jawa Barat,-7.3289,107.7159,2675,Moderate,6.058333333333334,Intermediate,images/Gunung papandayan.jpeg,https://www.gunungbagging.com/papandayan/,8
Gunung Patuha,Jawa Barat,-7.1624,107.3992,2450,Moderate,5.683333333333334,Intermediate,images/gunung patuha.jpeg,https://www.gunungbagging.com/patuha/,8
Gunung Malabar,Jawa Barat,-7.1514,107.6251,2343,Moderate,5.505,Intermediate,images/Gunung malabar.jpeg,https://www.gunungbagging.com/malabar/,8
Gunung Guntur,Jawa Barat,-7.1426,107.8413,2249,Moderate,5.348333333333334,Intermediate,images/Gunung guntur.jpeg,https://www.gunungbagging.com/guntur/,8
Gunung Galunggung,Jawa Barat,-7.2345,108.0691,2240,Moderate,5.333333333333334,Intermediate,images/Gunung galunggung.jpeg,https://www.gunungbagging.com/galunggung/,8
Gunung Bukittunggul,Jawa Barat,-6.8111,107.7264,2215,Moderate,5.291666666666667,Intermediate,images/Gunung bukittunggul.jpeg,https://www.gunungbagging.com/bukittunggul/,8
Gunung Salak,Jawa Barat,-6.7161,106.7336,2211,Moderate,5.285,Intermediate,images/Gunung salak.jpeg,https://www.gunungbagging.com/salak/,8
Gunung Wayang-Windu,Jawa Barat,-7.2108,107.64,2198,Moderate,5.263333333333334,Intermediate,images/Gunung wayang-windu.jpeg,https://www.gunungbagging.com/wayang-windu/,8
Gunung Tangkuban Perahu,Jawa Barat,-6.7532,107.6059,2086,Moderate,5.076666666666666,Intermediate,images/Gunung tangkuban perahu.jpeg,https://www.gunungbagging.com/tangkuban-parahu/,8
